Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Milrinone,Phosphodiesterase-3 Inhibitors,Avoid this drug in severe low blood pressure or serious ventricular arrhythmias.,"It can cause ventricular arrhythmias, low blood pressure, and headache.",It is used short term for acute decompensated heart failure and cardiogenic shock.,It increases cardiac output and lowers vascular resistance.,It is given intravenously and is useful when beta receptors are not responding well.,"It inhibits phosphodiesterase 3, increasing cAMP in cardiac and vascular smooth muscle cells."
Evolocumab,,Use caution in patients with latex allergy or severe hypersensitivity reactions.,"It can cause injection-site reactions, flu-like symptoms, and rarely allergic reactions.","It is used for very high LDL cholesterol, especially familial hypercholesterolemia.",It strongly lowers LDL cholesterol in the blood.,It is a monoclonal antibody that is injected every few weeks.,"It binds PCSK9, preventing LDL receptor breakdown and increasing LDL clearance."
Alirocumab,,Avoid this drug in patients with serious hypersensitivity to monoclonal antibodies.,"It can cause injection-site reactions, nasopharyngitis, and flu-like symptoms.",It is used for familial hypercholesterolemia and high LDL despite statin therapy.,It greatly reduces circulating LDL cholesterol.,It is given by subcutaneous injection rather than as a daily pill.,"It inhibits PCSK9, allowing more LDL receptors to remain on hepatocytes."
Icosapent Ethyl (Vascepa),,Use caution in patients with fish or shellfish allergy.,"It can cause joint pain, atrial fibrillation, and increased bleeding risk.",It is used to lower cardiovascular risk in patients with high triglycerides.,It lowers triglyceride-rich lipoproteins in the blood.,It is a purified EPA omega-3 product rather than a mixed fish-oil supplement.,It reduces hepatic VLDL-triglyceride synthesis and increases triglyceride clearance.
Sacubitril/Valsartan (Entresto),,"Avoid this drug in pregnancy, angioedema history, or use within 36 hours of an ACE inhibitor.","It can cause low blood pressure, high potassium, kidney injury, and angioedema.",It is used for chronic heart failure with reduced ejection fraction.,It lowers strain on the heart and improves heart failure outcomes.,It combines a neprilysin inhibitor with an angiotensin receptor blocker.,It inhibits neprilysin and blocks angiotensin II AT1 receptors.
Ivabradine,,Avoid this drug in acute decompensated heart failure or severe liver disease.,"It can cause slow heart rate, visual brightness, and atrial fibrillation.",It is used in selected patients with chronic heart failure and high resting heart rate.,It slows the heart without directly lowering contractility.,It is remembered for causing brief luminous visual phenomena.,"It blocks the funny current in the sinoatrial node, slowing pacemaker depolarization."
Ranolazine,,Avoid this drug in liver disease or when taking strong CYP3A inhibitors.,"It can cause dizziness, constipation, nausea, and QT prolongation.",It is used for chronic stable angina that persists despite other therapy.,It improves exercise tolerance without major changes in heart rate or blood pressure.,It is useful for angina but does not treat an acute attack.,"It inhibits late inward sodium current, reducing calcium overload in ischemic heart cells."
Nesiritide,,Avoid this drug in cardiogenic shock or very low blood pressure.,"It can cause low blood pressure, kidney dysfunction, and headache.",It is used for acutely decompensated heart failure with severe congestion.,It promotes salt and water loss while relaxing blood vessels.,It is a recombinant form of a natural cardiac peptide.,"It activates guanylyl cyclase through natriuretic peptide receptors, increasing cGMP."
Fluoxetine,SSRIs (Selective Serotonin Reuptake Inhibitors),Avoid this drug with monoamine oxidase inhibitors or in severe serotonin syndrome risk.,"It can cause sexual dysfunction, insomnia, nausea, and serotonin syndrome.","It is used for depression, obsessive-compulsive disorder, panic disorder, and bulimia.",It improves mood and reduces anxiety symptoms over weeks.,It has a long half-life and is less likely to cause discontinuation symptoms.,It selectively inhibits serotonin reuptake in the central nervous system.
Sertraline,SSRIs (Selective Serotonin Reuptake Inhibitors),Avoid this drug with monoamine oxidase inhibitors or linezolid.,"It can cause diarrhea, sexual dysfunction, insomnia, and serotonin syndrome.","It is used for depression, anxiety disorders, post-traumatic stress disorder, and obsessive-compulsive disorder.",It improves mood and decreases intrusive anxiety symptoms.,It is commonly chosen during pregnancy and breastfeeding compared with many alternatives.,It selectively blocks serotonin reuptake transporters.
Paroxetine,SSRIs (Selective Serotonin Reuptake Inhibitors),Avoid this drug with monoamine oxidase inhibitors or uncontrolled narrow-angle glaucoma.,"It can cause weight gain, sexual dysfunction, sedation, and withdrawal symptoms if stopped suddenly.","It is used for depression, anxiety disorders, panic disorder, and obsessive-compulsive disorder.",It reduces anxiety and depressive symptoms with continued use.,It has more anticholinergic and discontinuation effects than many similar drugs.,It selectively inhibits serotonin reuptake.
Citalopram,SSRIs (Selective Serotonin Reuptake Inhibitors),Avoid this drug with monoamine oxidase inhibitors or in patients at high risk for QT prolongation.,"It can cause nausea, sexual dysfunction, sleep changes, and dose-related QT prolongation.",It is used for major depression and anxiety disorders.,It improves mood and emotional symptoms over several weeks.,It has a notable dose limit because of QT interval concerns.,It selectively blocks serotonin reuptake transporters.
Escitalopram,SSRIs (Selective Serotonin Reuptake Inhibitors),Avoid this drug with monoamine oxidase inhibitors or active serotonin syndrome.,"It can cause nausea, sexual dysfunction, insomnia, and mild QT prolongation.",It is used for depression and generalized anxiety disorder.,It improves mood and decreases worry symptoms.,It is the S-enantiomer of a closely related antidepressant.,It selectively inhibits serotonin reuptake in presynaptic neurons.
Venlafaxine,SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors),Avoid this drug with monoamine oxidase inhibitors or uncontrolled narrow-angle glaucoma.,"It can cause nausea, sweating, sexual dysfunction, high blood pressure, and serotonin syndrome.","It is used for depression, generalized anxiety disorder, panic disorder, and neuropathic pain.",It improves mood and can reduce pain signaling.,It is more likely to raise blood pressure at higher doses.,It inhibits serotonin and norepinephrine reuptake.
Duloxetine,SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors),Avoid this drug in severe liver disease or heavy alcohol use.,"It can cause nausea, dry mouth, sleepiness, high blood pressure, and liver injury.","It is used for depression, generalized anxiety, diabetic neuropathy, and fibromyalgia.",It improves mood and decreases chronic nerve or muscle pain.,It is especially associated with treatment of diabetic neuropathic pain.,It inhibits serotonin and norepinephrine reuptake.
Bupropion,Atypical Antidepressants,Avoid this drug in seizure disorders or eating disorders.,"It can cause insomnia, dry mouth, anxiety, and seizures at high doses.",It is used for depression and smoking cessation.,It improves energy and reduces nicotine cravings.,It usually causes less sexual dysfunction than serotonergic antidepressants.,It inhibits norepinephrine and dopamine reuptake.
Mirtazapine,Atypical Antidepressants,"Use caution in patients with obesity, high cholesterol, or excessive daytime sedation.","It can cause sedation, increased appetite, weight gain, and dry mouth.","It is used for depression, especially when insomnia or poor appetite is present.",It improves sleep and increases appetite while treating mood symptoms.,It is known for being sedating and appetite stimulating.,It blocks alpha-2 receptors and blocks 5-HT2 and 5-HT3 receptors.
Lorazepam,Benzodiazepines,Avoid this drug with severe respiratory depression or acute narrow-angle glaucoma.,"It can cause sedation, confusion, falls, and respiratory depression.","It is used for anxiety, seizures, alcohol withdrawal, and procedural sedation.",It calms the patient and can stop seizures.,It has no active metabolites and is safer in liver disease than many similar drugs.,It enhances GABA-A receptor activity by increasing chloride channel opening frequency.
Diazepam,Benzodiazepines,Avoid this drug with severe respiratory depression or significant alcohol intoxication.,"It can cause sedation, impaired coordination, respiratory depression, and dependence.","It is used for anxiety, muscle spasms, seizures, and alcohol withdrawal.","It produces calming, anticonvulsant, and muscle-relaxing effects.",It is long acting and has active metabolites.,It enhances GABA-A receptor activity by increasing chloride channel opening frequency.
Alprazolam,Benzodiazepines,Avoid this drug with severe respiratory depression or strong sedative co-use.,"It can cause sedation, dependence, memory problems, and withdrawal symptoms.",It is used for panic disorder and short-term anxiety relief.,It quickly reduces panic and anxiety symptoms.,It has a high misuse risk because it acts quickly.,It potentiates GABA-A receptors by increasing chloride channel opening frequency.
Midazolam,Benzodiazepines,Avoid this drug in severe respiratory depression or shock without airway support.,"It can cause respiratory depression, low blood pressure, and amnesia.",It is used for procedural sedation and anesthesia induction.,It causes rapid sedation and anterograde amnesia.,It is very short acting and is commonly used before procedures.,It enhances GABA-A receptor activity by increasing chloride channel opening frequency.
Zolpidem,Non-Benzodiazepine Hypnotics,Avoid this drug with severe respiratory depression or complex sleep behaviors.,"It can cause sleepwalking, confusion, next-day drowsiness, and falls.",It is used for short-term insomnia with difficulty falling asleep.,It helps people fall asleep quickly.,It has less anxiolytic and muscle-relaxing effect than benzodiazepines.,"It binds the benzodiazepine site on GABA-A receptors, especially alpha-1 subunits."
Eszopiclone,Non-Benzodiazepine Hypnotics,Avoid this drug in patients with prior complex sleep behaviors.,"It can cause unpleasant taste, sleepwalking, sedation, and dizziness.",It is used for insomnia involving sleep onset and sleep maintenance.,It helps patients fall asleep and stay asleep longer.,It can be used longer than some other sleep drugs but still requires caution.,It binds the benzodiazepine site on GABA-A receptors.
Haloperidol,Typical Antipsychotics,Avoid this drug in Parkinson disease or severe central nervous system depression.,"It can cause extrapyramidal symptoms, neuroleptic malignant syndrome, QT prolongation, and hyperprolactinemia.","It is used for acute agitation, schizophrenia, and Tourette syndrome.",It decreases psychosis and severe agitation.,It has strong dopamine blockade with relatively little anticholinergic effect.,It blocks dopamine D2 receptors in the brain.
Chlorpromazine,Typical Antipsychotics,Avoid this drug in severe central nervous system depression or coma.,"It can cause sedation, low blood pressure, anticholinergic effects, and cholestatic jaundice.","It is used for psychosis, severe nausea, and hiccups.",It calms agitation and reduces dopamine-driven symptoms.,It has strong low-potency side effects such as sedation and orthostatic hypotension.,"It blocks dopamine D2 receptors and also blocks muscarinic, histamine, and alpha-1 receptors."
Risperidone,Atypical Antipsychotics,Use caution in dementia-related psychosis and seizure risk.,"It can cause weight gain, hyperprolactinemia, extrapyramidal symptoms, and sedation.","It is used for schizophrenia, bipolar disorder, and irritability in autism.","It reduces hallucinations, delusions, and mood instability.",It can raise prolactin more than many other atypical antipsychotics.,It blocks serotonin 5-HT2A receptors and dopamine D2 receptors.
Olanzapine,Atypical Antipsychotics,"Use caution in diabetes, obesity, and severe dyslipidemia.","It can cause major weight gain, metabolic syndrome, sedation, and anticholinergic effects.",It is used for schizophrenia and bipolar disorder.,It reduces psychosis and stabilizes mood.,It has a high metabolic side-effect burden among atypical antipsychotics.,It blocks serotonin 5-HT2A receptors and dopamine D2 receptors.
Quetiapine,Atypical Antipsychotics,Use caution in elderly patients with dementia-related psychosis.,"It can cause sedation, weight gain, orthostatic hypotension, and metabolic changes.","It is used for schizophrenia, bipolar disorder, and adjunctive depression treatment.",It reduces psychosis and helps stabilize mood while causing sedation.,It has relatively low extrapyramidal risk but is very sedating.,It blocks serotonin 5-HT2A receptors and dopamine D2 receptors.
Aripiprazole,Atypical Antipsychotics,Use caution in patients with impulse-control disorders or severe agitation.,"It can cause akathisia, insomnia, nausea, and impulse-control problems.","It is used for schizophrenia, bipolar disorder, and adjunctive depression therapy.",It stabilizes dopamine signaling and reduces psychosis.,It is a partial dopamine agonist rather than a pure dopamine blocker.,It partially agonizes dopamine D2 receptors and serotonin 5-HT1A receptors while blocking 5-HT2A receptors.
Propofol,Intravenous Anesthetics,Avoid this drug in allergy to egg or soy formulations when clinically relevant.,"It can cause respiratory depression, low blood pressure, and rare infusion syndrome.",It is used for induction and maintenance of anesthesia and ICU sedation.,It causes rapid unconsciousness and smooth recovery.,It is not an analgesic and commonly lowers blood pressure.,It potentiates GABA-A receptor activity.
Ketamine,Intravenous Anesthetics,"Use caution in schizophrenia, high blood pressure, or increased intracranial pressure concerns.","It can cause hallucinations, high blood pressure, fast heart rate, and increased secretions.","It is used for anesthesia and procedural sedation, especially when preserving airway reflexes is helpful.","It provides sedation, amnesia, and strong pain relief.",It can cause dissociative anesthesia with vivid emergence reactions.,It blocks NMDA glutamate receptors.
Phenytoin,Sodium Channel Blockers,"Avoid this drug in sinus bradycardia, heart block, or HLA-B*1502 risk without screening.","It can cause gum overgrowth, hirsutism, nystagmus, ataxia, and fetal hydantoin syndrome.","It is used for focal seizures, generalized tonic-clonic seizures, and status epilepticus after benzodiazepines.",It stabilizes neurons and prevents seizure spread.,"It has nonlinear metabolism, so small dose changes can cause large level changes.",It blocks voltage-gated sodium channels and prolongs the inactive state.
Carbamazepine,Sodium Channel Blockers,Avoid this drug in bone marrow suppression or HLA-B*1502 risk without screening.,"It can cause aplastic anemia, agranulocytosis, hyponatremia, and dizziness.","It is used for focal seizures, trigeminal neuralgia, and bipolar disorder.",It reduces nerve firing and relieves sharp facial pain.,It is a strong CYP450 inducer and can lower levels of many drugs.,It blocks voltage-gated sodium channels and stabilizes the inactive state.
Lamotrigine,Sodium Channel Blockers,Avoid starting this drug rapidly because serious rash risk increases.,"It can cause Stevens-Johnson syndrome, dizziness, headache, and diplopia.","It is used for focal seizures, generalized seizures, and bipolar depression.",It reduces seizure activity and helps prevent depressive mood episodes.,It is notable for mood-stabilizing benefit with relatively low weight gain.,It blocks voltage-gated sodium channels and decreases glutamate release.
Theophylline,Methylxanthines,Avoid this drug in uncontrolled arrhythmias or active seizure disorder.,"It can cause nausea, tremor, insomnia, seizures, and tachyarrhythmias.",It is used as an add-on therapy for asthma or COPD in selected patients.,It relaxes airway smooth muscle and stimulates breathing.,It has a narrow therapeutic index and many drug interactions.,It inhibits phosphodiesterase and antagonizes adenosine receptors.
Beclomethasone,Inhaled Corticosteroids,Use caution in untreated infections or frequent oral thrush.,"It can cause oral candidiasis, hoarseness, and throat irritation.",It is used as maintenance therapy for persistent asthma and allergic rhinitis.,It decreases airway inflammation and reduces asthma flare-ups.,It is inhaled for local anti-inflammatory effect with fewer systemic steroid effects.,It activates glucocorticoid receptors and suppresses inflammatory gene transcription.
Montelukast,Leukotriene Modifiers,Avoid this drug for acute asthma attacks because it will not work quickly.,"It can cause headache, abdominal pain, and rare mood or behavior changes.","It is used for asthma prevention, allergic rhinitis, and aspirin-exacerbated respiratory disease.",It reduces bronchospasm and mucus related to leukotrienes.,It is taken by mouth and is often used in children with allergy-triggered asthma.,It blocks cysteinyl leukotriene receptor 1.
Zileuton,Leukotriene Modifiers,Avoid this drug in active liver disease.,"It can cause liver enzyme elevation, headache, and stomach upset.",It is used for asthma prevention and aspirin-exacerbated respiratory disease.,It decreases leukotriene-driven airway inflammation.,It requires liver monitoring because hepatotoxicity is a key concern.,"It inhibits 5-lipoxygenase, reducing leukotriene synthesis."
Cromolyn Sodium,Mast Cell Stabilizers,Avoid this drug as rescue therapy during an acute bronchospasm attack.,"It can cause cough, throat irritation, and unpleasant taste.",It is used to prevent asthma symptoms and prevent exercise-induced bronchospasm.,It reduces allergic airway reactions before they occur.,It is most useful as prophylaxis rather than symptom relief.,It stabilizes mast cells and prevents mediator release.
Omalizumab,Targeted Biologics,Avoid this drug in patients with severe hypersensitivity to biologic therapy.,"It can cause injection-site reactions, anaphylaxis, and headache.",It is used for allergic asthma and chronic spontaneous urticaria.,It reduces allergic inflammation and asthma exacerbations.,It is used when IgE-mediated disease remains uncontrolled despite standard therapy.,It binds free IgE and prevents IgE from binding Fc-epsilon receptors on mast cells and basophils.
N-Acetylcysteine,Mucolytics,Use caution in patients prone to bronchospasm when inhaled.,"It can cause nausea, vomiting, rash, and an unpleasant sulfur smell.",It is used to loosen mucus and to treat acetaminophen overdose.,It thins respiratory secretions and restores glutathione stores.,It is both a mucolytic and the key antidote for acetaminophen toxicity.,It breaks disulfide bonds in mucus and replenishes hepatic glutathione.
Dornase Alfa,Mucolytics,Avoid this drug in patients with hypersensitivity to hamster ovary cell products.,"It can cause voice changes, rash, sore throat, and laryngitis.",It is used in cystic fibrosis to reduce thick airway secretions.,It makes sputum less viscous and easier to clear.,It digests DNA from dead neutrophils in cystic fibrosis mucus.,It is recombinant DNase that cleaves extracellular DNA in airway secretions.
Levalbuterol,Short-Acting Beta-2 Agonists (SABA),Use caution in patients with serious tachyarrhythmias.,"It can cause tremor, fast heart rate, nervousness, and low potassium.",It is used for quick relief of bronchospasm in asthma and COPD.,It rapidly opens the airways and improves wheezing.,It is the R-enantiomer of a common short-acting bronchodilator.,"It stimulates beta-2 receptors, increasing cAMP in bronchial smooth muscle."
Aclidinium,Long-Acting Anticholinergics (LAMA),Avoid this drug in severe hypersensitivity to inhaled anticholinergic drugs.,"It can cause dry mouth, headache, cough, and urinary retention.",It is used as maintenance therapy for COPD.,It keeps airways relaxed and reduces COPD symptoms over time.,It is a long-acting inhaled muscarinic blocker usually dosed twice daily.,"It blocks muscarinic receptors, especially M3 receptors, in bronchial smooth muscle."
Fluticasone,Inhaled Corticosteroids,Use caution in untreated infections or frequent oral candidiasis.,"It can cause oral thrush, hoarse voice, and throat irritation.",It is used for asthma and COPD inflammation control.,It reduces airway swelling and lowers exacerbation risk.,It is often combined with a long-acting beta agonist in inhalers.,It activates glucocorticoid receptors and decreases inflammatory cytokine production.
Budesonide,Inhaled Corticosteroids,Use caution in active infections or frequent oral thrush.,"It can cause oral candidiasis, hoarseness, cough, and throat irritation.","It is used for persistent asthma, COPD, and sometimes inflammatory bowel disease in other forms.",It lowers airway inflammation and reduces wheezing attacks.,It has formulations designed for high first-pass metabolism and fewer systemic effects.,It activates glucocorticoid receptors and suppresses inflammatory transcription.
Fluticasone/Salmeterol,ICS/LABA Combinations,Avoid this drug as sole therapy for an acute asthma attack.,"It can cause oral thrush, hoarseness, tremor, and fast heart rate.",It is used for maintenance treatment of asthma and COPD.,It reduces inflammation while keeping airways open for many hours.,It pairs a steroid with a long-acting bronchodilator in one inhaler.,It activates glucocorticoid receptors and stimulates beta-2 receptors in bronchial smooth muscle.
Budesonide/Formoterol,ICS/LABA Combinations,Avoid using this drug as the only rescue plan unless the prescribed regimen allows it.,"It can cause oral thrush, hoarseness, tremor, and palpitations.",It is used for asthma maintenance and COPD control.,It reduces airway inflammation and provides long-acting bronchodilation.,It contains a faster-onset long-acting beta agonist than many similar combinations.,It activates glucocorticoid receptors and stimulates beta-2 receptors.
Dextromethorphan,Antitussives,Avoid this drug with monoamine oxidase inhibitors or high serotonin syndrome risk.,"It can cause dizziness, confusion, sedation, and serotonin syndrome when combined with serotonergic drugs.","It is used to suppress a dry, nonproductive cough.",It decreases the urge to cough.,It can be abused at high doses for dissociative effects.,It acts centrally to raise the cough threshold and also antagonizes NMDA receptors at high doses.
Benzonatate,Antitussives,Avoid this drug in children younger than ten years because overdose can be fatal.,"It can cause numb mouth, sedation, dizziness, and bronchospasm if chewed.",It is used to relieve cough.,It numbs airway stretch receptors and reduces cough reflex signaling.,It must be swallowed whole because chewing can numb the mouth and throat.,It anesthetizes pulmonary stretch receptors through local sodium channel blockade.
Guaifenesin,Expectorants,Use caution in patients who cannot clear secretions well.,"It can cause nausea, vomiting, dizziness, and sleepiness.",It is used to help clear mucus in productive cough.,It makes mucus thinner and easier to cough up.,It is an expectorant rather than a true cough suppressant.,"It increases respiratory tract fluid, lowering mucus viscosity."
Umeclidinium,,Avoid this drug in severe hypersensitivity to anticholinergic inhalers.,"It can cause dry mouth, sore throat, cough, and urinary retention.",It is used as maintenance therapy for COPD.,It relaxes airways for a full day and reduces COPD symptoms.,It is available in once-daily inhaler combinations for COPD.,"It blocks muscarinic receptors, especially M3 receptors, in bronchial smooth muscle."
Roflumilast,,Avoid this drug in moderate or severe liver impairment.,"It can cause weight loss, diarrhea, nausea, insomnia, and mood changes.",It is used to reduce COPD exacerbations in severe chronic bronchitis.,It decreases airway inflammation and lowers flare frequency.,It is taken by mouth and is not a bronchodilator for immediate relief.,"It inhibits phosphodiesterase 4, increasing cAMP and reducing inflammatory cell activity."
Mepolizumab,,Avoid this drug in patients with hypersensitivity to monoclonal antibodies.,"It can cause headache, injection-site reactions, back pain, and herpes zoster infection.",It is used for severe eosinophilic asthma.,It lowers eosinophil activity and reduces asthma exacerbations.,It targets an interleukin pathway rather than directly opening the airways.,"It binds interleukin-5, reducing eosinophil growth and survival."
Penicillin G,Penicillins,Avoid this drug in severe penicillin allergy.,"It can cause allergic reactions, seizures at high levels, and hemolytic anemia.","It is used for syphilis, streptococcal infections, and some gram-positive infections.",It kills susceptible bacteria by weakening their cell wall.,It is the classic treatment for syphilis.,It binds penicillin-binding proteins and inhibits bacterial cell-wall cross-linking.
Amoxicillin,Penicillins,Avoid this drug in serious penicillin allergy.,"It can cause rash, diarrhea, allergic reactions, and C. difficile infection.","It is used for otitis media, sinusitis, pneumonia, and H. pylori regimens.",It kills susceptible respiratory and gastrointestinal bacteria.,It is an oral aminopenicillin with broader gram-negative coverage than narrow penicillins.,It binds penicillin-binding proteins and blocks peptidoglycan cross-linking.
Nafcillin,Penicillins,Avoid this drug in severe penicillin allergy.,"It can cause interstitial nephritis, neutropenia, allergic reactions, and liver enzyme elevation.",It is used for methicillin-sensitive Staphylococcus aureus infections.,It kills penicillinase-producing staphylococci.,It is resistant to staphylococcal beta-lactamase but not MRSA resistance.,It binds penicillin-binding proteins and inhibits bacterial cell-wall synthesis.
Cefazolin (1st gen),Cephalosporins,Avoid this drug in severe cephalosporin allergy.,"It can cause allergic reactions, diarrhea, and rarely C. difficile infection.",It is used for surgical prophylaxis and skin infections caused by susceptible bacteria.,It kills many gram-positive organisms and some gram-negative organisms.,It is commonly given before surgery to prevent wound infection.,It binds penicillin-binding proteins and inhibits peptidoglycan cross-linking.
Ceftriaxone (3rd gen),Cephalosporins,Avoid this drug in severe cephalosporin allergy.,"It can cause biliary sludging, diarrhea, allergic reactions, and C. difficile infection.","It is used for meningitis, gonorrhea, Lyme disease complications, and severe pneumonia.",It kills susceptible gram-negative and some gram-positive bacteria.,It can be dosed once daily and is useful for gonorrhea treatment.,It binds penicillin-binding proteins and inhibits bacterial cell-wall synthesis.
Cefepime (4th gen),Cephalosporins,Avoid this drug in severe cephalosporin allergy.,"It can cause neurotoxicity, seizures, diarrhea, and allergic reactions.","It is used for severe hospital infections, including Pseudomonas coverage.",It kills resistant gram-negative bacteria and some gram-positive bacteria.,It has strong Pseudomonas activity and is often used for neutropenic fever.,It binds penicillin-binding proteins and inhibits peptidoglycan cross-linking.
Imipenem/Cilastatin,Carbapenems,Avoid this drug in carbapenem allergy or patients at high seizure risk when alternatives exist.,"It can cause seizures, nausea, diarrhea, and allergic reactions.",It is used for severe polymicrobial and resistant bacterial infections.,"It kills many gram-positive, gram-negative, and anaerobic bacteria.",It is paired with a renal dehydropeptidase inhibitor to prevent drug breakdown.,It binds penicillin-binding proteins and inhibits bacterial cell-wall synthesis.
Meropenem,Carbapenems,Avoid this drug in severe carbapenem allergy.,"It can cause diarrhea, nausea, rash, and seizures less often than some related drugs.","It is used for severe resistant gram-negative, anaerobic, and polymicrobial infections.",It provides very broad bacterial killing.,It is often preferred when seizure risk is a concern among carbapenems.,It binds penicillin-binding proteins and inhibits bacterial cell-wall synthesis.
Aztreonam,Monobactams,Avoid this drug in severe beta-lactam allergy to this agent.,"It can cause rash, liver enzyme elevation, and gastrointestinal upset.","It is used for aerobic gram-negative infections, including Pseudomonas, especially in beta-lactam allergy.",It kills susceptible aerobic gram-negative bacteria.,It has minimal cross-reactivity with most penicillin allergies except a shared side chain with one cephalosporin.,It binds penicillin-binding proteins and inhibits bacterial cell-wall synthesis.
Vancomycin,Glycopeptides,Avoid this drug in severe hypersensitivity to glycopeptides.,"It can cause red man syndrome, kidney injury, ototoxicity, and neutropenia.",It is used for MRSA infections and oral treatment of C. difficile colitis.,It kills gram-positive bacteria by preventing strong cell-wall formation.,It must be taken orally for C. difficile because IV therapy does not reach the gut lumen well.,It binds D-Ala-D-Ala termini and blocks peptidoglycan polymerization.
Daptomycin,Lipopeptides,Avoid this drug for pneumonia because lung surfactant inactivates it.,"It can cause muscle toxicity, eosinophilic pneumonia, and elevated creatine kinase.",It is used for MRSA bacteremia and complicated skin infections.,It rapidly kills gram-positive bacteria by damaging their membranes.,It is useful for bloodstream infection but not lung infection.,It inserts into bacterial membranes and causes potassium efflux and depolarization.
Gentamicin,Aminoglycosides,Avoid this drug in significant aminoglycoside hypersensitivity.,"It can cause kidney injury, hearing loss, vestibular toxicity, and neuromuscular blockade.",It is used for severe gram-negative infections and synergy with beta-lactams.,It kills aerobic gram-negative bacteria quickly.,"It requires oxygen-dependent uptake, so it does not work against anaerobes.",It irreversibly binds the 30S ribosomal subunit and causes misreading of mRNA.
Tobramycin,Aminoglycosides,Avoid this drug in aminoglycoside allergy or severe kidney risk when alternatives exist.,"It can cause nephrotoxicity, ototoxicity, and neuromuscular blockade.","It is used for serious gram-negative infections, including Pseudomonas.",It rapidly kills aerobic gram-negative organisms.,It is often used in hospital infections where Pseudomonas coverage is needed.,It irreversibly binds the 30S ribosomal subunit and disrupts protein synthesis.
Amikacin,Aminoglycosides,Avoid this drug in aminoglycoside allergy and use caution in kidney disease.,"It can cause kidney injury, hearing loss, vestibular toxicity, and neuromuscular blockade.",It is used for resistant gram-negative infections and some mycobacterial infections.,It kills aerobic gram-negative bacteria.,It is designed to resist many aminoglycoside-inactivating enzymes.,It irreversibly binds the 30S ribosomal subunit and causes faulty protein translation.
Streptomycin,Aminoglycosides,Avoid this drug in significant aminoglycoside allergy.,"It can cause ototoxicity, nephrotoxicity, and vestibular damage.","It is used for tuberculosis, plague, tularemia, and some enterococcal synergy regimens.",It kills susceptible aerobic bacteria and mycobacteria.,It is one of the older agents historically used for tuberculosis.,It irreversibly binds the 30S ribosomal subunit and disrupts protein synthesis.
Azithromycin,Macrolides,Avoid this drug in severe macrolide allergy or significant QT prolongation.,"It can cause diarrhea, QT prolongation, liver injury, and hearing changes.","It is used for atypical pneumonia, chlamydia, and respiratory infections.",It stops bacterial growth and decreases atypical respiratory infection symptoms.,It has fewer CYP interactions than older macrolides.,It binds the 50S ribosomal subunit and blocks translocation.
Clarithromycin,Macrolides,Avoid this drug in severe macrolide allergy or strong QT risk.,"It can cause metallic taste, gastrointestinal upset, QT prolongation, and CYP drug interactions.","It is used for H. pylori regimens, atypical pneumonia, and some respiratory infections.",It slows bacterial growth and helps eradicate H. pylori when combined with other drugs.,It is a strong CYP3A4 inhibitor and has a classic metallic taste.,It binds the 50S ribosomal subunit and inhibits translocation.
Erythromycin,Macrolides,Avoid this drug in significant QT prolongation or severe macrolide allergy.,"It can cause gastrointestinal motility, QT prolongation, cholestatic hepatitis, and drug interactions.",It is used for atypical respiratory infections and as a prokinetic in some settings.,It inhibits bacterial growth and can increase gut motility.,"It strongly stimulates motilin receptors, which explains its GI effects.",It binds the 50S ribosomal subunit and blocks translocation.
Doxycycline,Tetracyclines,Avoid this drug in pregnancy and in children with developing teeth.,"It can cause photosensitivity, tooth discoloration, esophagitis, and stomach upset.","It is used for rickettsial disease, Lyme disease, chlamydia, acne, and atypical infections.",It stops bacterial growth and treats many intracellular infections.,It is the classic treatment for Rocky Mountain spotted fever.,It binds the 30S ribosomal subunit and prevents aminoacyl-tRNA attachment.
Minocycline,Tetracyclines,Avoid this drug in pregnancy and young children because of tooth and bone effects.,"It can cause dizziness, skin discoloration, photosensitivity, and lupus-like reactions.",It is used for acne and some tetracycline-susceptible infections.,It decreases bacterial protein production and reduces acne inflammation.,It is more vestibulotoxic than many related drugs.,It binds the 30S ribosomal subunit and blocks aminoacyl-tRNA binding.
Tetracycline,Tetracyclines,Avoid this drug in pregnancy and in children with developing teeth.,"It can cause photosensitivity, tooth discoloration, bone growth effects, and gastrointestinal upset.","It is used for acne, atypical infections, and some zoonotic infections.",It stops bacterial growth by slowing protein production.,"It chelates calcium and should not be taken with milk, antacids, or iron.",It binds the 30S ribosomal subunit and prevents aminoacyl-tRNA attachment.
Chloramphenicol,Chloramphenicol,"Avoid this drug in neonates, pregnancy near delivery, or severe bone marrow disease.","It can cause aplastic anemia, gray baby syndrome, and bone marrow suppression.",It is used rarely for serious infections when safer options are unsuitable.,It stops bacterial growth by blocking protein synthesis.,It is remembered for rare but severe aplastic anemia.,It binds the 50S ribosomal subunit and inhibits peptidyl transferase.
