Name,Class,Subclass,System(s),"Hint 1: Physical Exam finding in patients (ex: beefy-red, painless ulcerative lesions that bleed very easily when touched).
","Hint 2: congenital impact(s) (if applicable) OR more possible physical exam findings. If it is a bug with multiple different presentations, make sure to specify (ex: C. preferinges can cause diarrhea OR skin necrosis in different contexts).  
","Hint 3: Lab findings (fever, elevated eosinophilia, etc.)
","Hint 4: Treatment “This bug is treated with ___ and ____”
","Hint 5: Disease(s) it can cause
","Hint 6: Morphology (RNA+ virus, dsDNA virus, gram positive, intracellular bacteria, cestode (tapeworm), fungi, etc.)"
Marburg virus,virus,negative-sense RNA filovirus,Blood & Lymphoreticular/Immune Systems; Gastrointestinal; Cardiovascular,Severe febrile illness with GI symptoms and hemorrhage,Exposure to bats or outbreak setting may be a clue,"Thrombocytopenia, transaminitis, PCR confirmation",Treated with intensive supportive care,Viral hemorrhagic fever with shock,Negative-sense RNA filovirus
Dengue virus,virus,positive-sense RNA flavivirus,"Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue; Gastrointestinal",High fever with severe retro-orbital pain and myalgias,"Rash, bleeding, or shock can occur in severe disease","Leukopenia, thrombocytopenia, ↑ hematocrit; NS1 antigen/PCR early",Treated with fluids and supportive care; avoid NSAIDs,"Breakbone fever, hemorrhagic fever, shock syndrome",Positive-sense RNA flavivirus
Zika virus,virus,positive-sense RNA flavivirus,"Reproductive; Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue","Mild fever, rash, arthralgia, and conjunctivitis after mosquito exposure",Congenital infection can cause microcephaly and brain abnormalities,PCR early; serology later,Treated supportively; pregnancy counseling/prevention emphasized,"Febrile rash illness, congenital neurodevelopmental syndrome, Guillain-Barré association",Positive-sense RNA flavivirus
Chikungunya virus,virus,positive-sense RNA alphavirus,"Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems",Fever with severe symmetric polyarthralgia after mosquito exposure,Joint pain can persist for months,Leukopenia or thrombocytopenia may occur; PCR/serology can confirm,Treated supportively with analgesics and fluids,Febrile arthralgia illness,Positive-sense RNA alphavirus
West Nile virus,virus,positive-sense RNA flavivirus,"Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue","Fever, headache, myalgias after mosquito exposure",Older or immunocompromised patients can develop encephalitis or flaccid paralysis,CSF lymphocytic pleocytosis; IgM in serum/CSF,Treated supportively,"Febrile illness, meningitis, encephalitis, acute flaccid paralysis",Positive-sense RNA flavivirus
Yellow fever virus,virus,positive-sense RNA flavivirus,Gastrointestinal; Blood & Lymphoreticular/Immune Systems; Renal/Urinary,"Fever, jaundice, bleeding, and renal injury after mosquito exposure",Biphasic illness may progress to shock and multiorgan failure,"↑ AST/ALT, hyperbilirubinemia, thrombocytopenia; PCR/serology",Treated supportively; prevented with live attenuated vaccine,Viral hemorrhagic fever with jaundice,Positive-sense RNA flavivirus
Eastern equine encephalitis virus,virus,positive-sense RNA alphavirus,Nervous System,"Fever, headache, and rapidly progressive encephalitis after mosquito exposure",Severe neurologic disease can leave major deficits,CSF lymphocytic pleocytosis; serology/PCR may support diagnosis,Treated supportively,Mosquito-borne encephalitis,Positive-sense RNA alphavirus
Lymphocytic choriomeningitis virus,virus,negative-sense segmented RNA arenavirus,Nervous System; Reproductive,Aseptic meningitis after rodent exposure,Congenital infection can cause fetal neurologic disease,CSF lymphocytic pleocytosis; serology/PCR may confirm,Treated supportively in most cases,"Aseptic meningitis, encephalitis, congenital infection",Negative-sense segmented RNA arenavirus
Candida albicans,fungi,yeast with pseudohyphae,"Reproductive; Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems; Gastrointestinal; Renal/Urinary",White oral plaques that scrape off or pruritic vulvovaginal discharge,Intertriginous erythema with satellite lesions or disseminated sepsis in high-risk hosts,KOH shows budding yeast and pseudohyphae,Treated with topical azoles/nystatin for mucosal disease; fluconazole or echinocandin for invasive disease,"Thrush, vulvovaginitis, esophagitis, candidemia, endocarditis",Yeast with pseudohyphae
Aspergillus,fungi,septate mold with acute-angle branching hyphae,Respiratory; Blood & Lymphoreticular/Immune Systems; Nervous System,Hemoptysis with fungus ball in a preexisting lung cavity,Asthma/CF patients may develop allergic bronchopulmonary disease; immunocompromised patients can develop angioinvasive disease,Eosinophilia/↑ IgE in allergic disease; biopsy shows acute-angle septate hyphae,Treated with voriconazole for invasive disease; steroids/itraconazole for allergic disease,"Allergic bronchopulmonary disease, aspergilloma, invasive pulmonary mold infection",Septate mold with acute-angle branching hyphae
Cryptococcus,fungi,encapsulated yeast,Nervous System; Respiratory; Blood & Lymphoreticular/Immune Systems,"Headache, fever, confusion, and increased intracranial pressure in advanced immunosuppression",Pulmonary disease can follow inhalation from bird-dropping exposure,India ink shows encapsulated yeast; capsular antigen positive,"Treated with amphotericin B plus flucytosine, then fluconazole","Meningoencephalitis, pulmonary infection, brain abscess",Encapsulated yeast
Histoplasma,fungi,dimorphic fungus,Respiratory; Blood & Lymphoreticular/Immune Systems; Gastrointestinal,Flu-like pneumonia after bat or bird-dropping exposure,"Can cause hepatosplenomegaly, lymphadenopathy, or oral ulcers when disseminated",Urine/serum antigen positive; macrophages filled with small yeasts,Mild disease supportive; severe/disseminated disease amphotericin B then itraconazole,Pulmonary and disseminated endemic mycosis,Dimorphic fungus
Blastomyces,fungi,dimorphic fungus,"Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue",Pneumonia with possible verrucous skin lesions,"Bone lesions, genitourinary disease, or CNS involvement may occur",Broad-based budding yeast on KOH/culture,Local disease treated with itraconazole/fluconazole; systemic disease with amphotericin B,Pulmonary and disseminated endemic mycosis,Dimorphic fungus
Coccidioides,fungi,dimorphic fungus,"Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue; Nervous System",Flu-like pneumonia after dust/soil exposure in the Southwest US,"Erythema nodosum, arthralgia, bone lesions, or meningitis may occur",Eosinophilia; large spherules filled with endospores on tissue exam,Treated with fluconazole/itraconazole; severe disease with amphotericin B,"Valley fever, pneumonia, meningitis, disseminated systemic mycosis",Dimorphic fungus
Pneumocystis jirovecii,fungi,atypical fungus,Respiratory; Blood & Lymphoreticular/Immune Systems,"Fever, nonproductive cough, exertional dyspnea, and hypoxemia",Classically occurs with advanced cellular immunodeficiency,Bilateral ground-glass opacities; silver stain shows disc-shaped yeasts,Treated with high-dose TMP-SMX; add prednisone if moderate/severe hypoxemia,Opportunistic bilateral pneumonia,Atypical fungus
Dermatophytes (Tinea),fungi,cutaneous mold,"Musculoskeletal, Skin & Subcutaneous Tissue",Ring-shaped pruritic skin lesion with central clearing,"Can affect scalp, groin, feet, hands, or nails",KOH shows hyphae from skin scraping,Treated with topical azoles for limited skin disease; oral griseofulvin/terbinafine for scalp or nails,"Ringworm-type superficial skin, hair, or nail infection",Cutaneous mold
Giardia,parasite,flagellated protozoan,Gastrointestinal,Foul-smelling greasy diarrhea with bloating and flatulence,"Associated with contaminated water, camping, or daycare exposure",Stool antigen/PCR or ova-and-parasite exam may confirm,"Treated with tinidazole, nitazoxanide, or metronidazole",Malabsorptive watery diarrheal illness,Flagellated protozoan
Entamoeba histolytica,parasite,amoeba protozoan,Gastrointestinal; Blood & Lymphoreticular/Immune Systems,Bloody diarrhea after fecal-oral exposure or travel,Can spread to liver and cause right upper quadrant pain,Stool antigen/PCR; trophozoites may contain ingested RBCs,Treated with metronidazole or tinidazole followed by paromomycin,"Invasive colitis, liver abscess",Amoeba protozoan
Toxoplasma gondii,parasite,apicomplexan protozoan,Nervous System; Reproductive; Blood & Lymphoreticular/Immune Systems,"Ring-enhancing brain lesions with headache, fever, or focal deficits in advanced immunosuppression","Congenital infection can cause chorioretinitis, hydrocephalus, and intracranial calcifications",Serology or PCR may help; intracellular crescent-shaped forms may be seen,"Treated with pyrimethamine, sulfadiazine, and leucovorin","Encephalitis, congenital infection, ocular disease",Apicomplexan protozoan
Plasmodium falciparum,parasite,apicomplexan protozoan,Blood & Lymphoreticular/Immune Systems; Nervous System; Renal/Urinary,Cyclic or irregular fevers after Anopheles mosquito exposure,"Severe disease can cause cerebral symptoms, renal injury, acidosis, and hypoglycemia",Thin/thick smear with high parasitemia; banana/crescent gametocytes may be seen,Severe disease treated with IV artesunate; uncomplicated disease depends on resistance pattern,"Severe malaria, cerebral malaria, hemolytic anemia",Apicomplexan protozoan
Plasmodium vivax,parasite,apicomplexan protozoan,Blood & Lymphoreticular/Immune Systems; Gastrointestinal,Recurrent fever episodes after travel to endemic region,Dormant liver forms can relapse months later,Blood smear shows enlarged RBCs with parasite forms,Treated with chloroquine where sensitive plus primaquine/tafenoquine after G6PD testing,Relapsing tertian malaria,Apicomplexan protozoan
Babesia,parasite,apicomplexan protozoan,Blood & Lymphoreticular/Immune Systems,"Fever, chills, myalgias, dark urine, and jaundice after tick exposure",Severe disease is more likely with asplenia or immunosuppression,"Hemolytic anemia, thrombocytopenia; intraerythrocytic rings or Maltese cross on smear",Treated with atovaquone plus azithromycin; severe cases may need exchange transfusion,Tick-borne hemolytic parasitemia,Apicomplexan protozoan
Trichomonas,parasite,flagellated protozoan,Reproductive; Renal/Urinary,Frothy yellow-green foul-smelling vaginal discharge,"Strawberry cervix, pruritus, dysuria, or dyspareunia may occur",Vaginal pH > 4.5; motile flagellated trophozoites on wet mount,Treated with oral metronidazole or tinidazole; treat partners too,Sexually transmitted vaginitis/urethritis,Flagellated protozoan
Trypanosoma cruzi,parasite,flagellated protozoan,Cardiovascular; Gastrointestinal,"Fever, malaise, and unilateral painless periorbital swelling after reduviid-bug exposure","Chronic infection can cause dilated cardiomyopathy, megaesophagus, or megacolon",Trypomastigotes on blood smear in acute disease; IgG serology in chronic disease,Treated with benznidazole; nifurtimox is second line,American trypanosomal infection with cardiac/GI complications,Flagellated protozoan
Trypanosoma brucei,parasite,flagellated protozoan,Nervous System; Blood & Lymphoreticular/Immune Systems,Intermittent fever and painless lymphadenopathy after tsetse-fly exposure,"Later sleep inversion, behavior change, ataxia, and coma can occur",Trypomastigotes in blood/lymph aspirate or CSF depending on stage,Treated with pentamidine/suramin early; eflornithine plus nifurtimox or melarsoprol for CNS disease,African sleeping sickness,Flagellated protozoan
Leishmania,parasite,flagellated protozoan,"Blood & Lymphoreticular/Immune Systems; Musculoskeletal, Skin & Subcutaneous Tissue; Gastrointestinal",Chronic painless ulcer at sandfly bite site,"Visceral disease can cause fever, hepatosplenomegaly, pancytopenia, and darkened skin",Amastigotes inside macrophages on tissue sample,Treated with amphotericin B or sodium stibogluconate; limited skin disease may use topical therapy,"Cutaneous, mucosal, or visceral sandfly-borne infection",Flagellated protozoan
Schistosoma,parasite,trematode (fluke),Renal/Urinary; Gastrointestinal; Blood & Lymphoreticular/Immune Systems,Itchy rash after freshwater exposure followed by fever or chronic urinary/GI symptoms,"Eggs can cause hematuria, portal hypertension, or intestinal inflammation",Eosinophilia; eggs in urine or stool,Treated with praziquantel,Blood-fluke infection causing urinary or intestinal disease,Trematode (fluke)
Taenia solium,parasite,cestode (tapeworm),Nervous System; Gastrointestinal,Seizures or headaches from CNS cysts after fecal-oral egg ingestion,Eating undercooked pork can instead cause intestinal adult-worm infection,Eggs/proglottids in stool for intestinal disease; imaging/serology for CNS disease,Intestinal disease treated with praziquantel; CNS disease often albendazole plus steroids,"Pork-tapeworm intestinal infection, neurocysticercosis",Cestode (tapeworm)
Echinococcus,parasite,cestode (tapeworm),Gastrointestinal; Respiratory,Slowly enlarging hepatic cyst with abdominal pain or mass effect,Cyst rupture can trigger anaphylaxis and secondary seeding,"Imaging shows cystic lesion, sometimes with daughter cysts",Treated with albendazole; PAIR or surgery for selected cysts,"Hydatid cyst disease, alveolar cystic liver disease",Cestode (tapeworm)
Cryptosporidium,parasite,apicomplexan protozoan,Gastrointestinal; Blood & Lymphoreticular/Immune Systems,Profuse watery diarrhea after contaminated water exposure,Chronic severe diarrhea occurs with advanced immunosuppression,Acid-fast oocysts or stool antigen/PCR,Treated with nitazoxanide and supportive care; optimize immune status if immunocompromised,"Watery diarrheal illness, chronic opportunistic enteritis",Apicomplexan protozoan
Cyclospora cayetanensis,parasite,apicomplexan protozoan,Gastrointestinal,"Prolonged watery diarrhea with anorexia, cramping, and fatigue",Often associated with contaminated produce or travel,Acid-fast oocysts in stool; PCR may confirm,Treated with TMP-SMX,Relapsing/prolonged watery gastroenteritis,Apicomplexan protozoan
Cystoisospora belli,parasite,apicomplexan protozoan,Gastrointestinal; Blood & Lymphoreticular/Immune Systems,Watery diarrhea in tropical/subtropical exposure or immunocompromise,Chronic disease is more likely with impaired cellular immunity,Stool oocysts; eosinophilia may occur,Treated with TMP-SMX,Opportunistic watery diarrheal illness,Apicomplexan protozoan
Strongyloides stercoralis,parasite,nematode (roundworm),"Gastrointestinal; Respiratory; Musculoskeletal, Skin & Subcutaneous Tissue; Blood & Lymphoreticular/Immune Systems","Abdominal pain, diarrhea, cough, and pruritic serpiginous rash",Hyperinfection can occur after steroids or immunosuppression,Eosinophilia; mobile larvae in stool,Treated with ivermectin; albendazole is an alternative,"Autoinfective intestinal/threadworm infection, hyperinfection syndrome",Nematode (roundworm)
Acanthamoeba,parasite,free-living amoeba,"Nervous System; Musculoskeletal, Skin & Subcutaneous Tissue",Painful keratitis in contact-lens wearer,Immunocompromised patients may develop chronic granulomatous encephalitis or skin lesions,"Trophozoites/cysts in corneal scraping, biopsy, or CSF testing",Keratitis treated with topical biguanides; CNS disease requires specialist multidrug therapy,"Contact-lens keratitis, granulomatous amebic encephalitis",Free-living amoeba
Naegleria fowleri,parasite,free-living amoeba,Nervous System,"Rapid-onset fever, headache, meningismus after warm freshwater enters the nose","Progresses quickly to seizures, coma, and death",CSF resembles bacterial meningitis; motile trophozoites may be seen,Treated with amphotericin B plus miltefosine,Primary amebic meningoencephalitis,Free-living amoeba
Angiostrongylus cantonensis,parasite,nematode (roundworm),Nervous System; Gastrointestinal,"Headache and neck stiffness after raw/undercooked snail, slug, or contaminated produce exposure","Paresthesias, hyperesthesia, nausea, or vomiting may occur",Eosinophilic meningitis with CSF eosinophilia,"Treated supportively; analgesia, corticosteroids in selected cases; antiparasitic therapy is specialist-guided",Rat-lungworm eosinophilic meningitis,Nematode (roundworm)
Baylisascaris procyonis,parasite,nematode (roundworm),Nervous System; Gastrointestinal,Encephalitis or ocular disease after raccoon-feces exposure,Children may be exposed through contaminated soil or pica,"Marked eosinophilia; larvae may migrate through brain, eye, or viscera",Treated with albendazole plus corticosteroids when suspected early,Raccoon-roundworm larva migrans with neurologic/ocular disease,Nematode (roundworm)
